Cor: VERDE, Tipo: NUMERO, Numero: 1
Cor: AMARELA, Tipo: NUMERO, Numero: 8
Cor: VERMELHA, Tipo: NUMERO, Numero: 2
Cor: VERMELHA, Tipo: NUMERO, Numero: 6
Cor: PRETA, Tipo: COMPRA_MAIS_4, Numero: -1
Cor: VERDE, Tipo: NUMERO, Numero: 3
Cor: VERDE, Tipo: NUMERO, Numero: 0
Cor: AMARELA, Tipo: INVERTE, Numero: -1
Cor: VERMELHA, Tipo: NUMERO, Numero: 5
Cor: VERMELHA, Tipo: NUMERO, Numero: 0
Cor: AMARELA, Tipo: NUMERO, Numero: 4
Cor: VERMELHA, Tipo: COMPRA_MAIS_2, Numero: -1
Cor: VERMELHA, Tipo: NUMERO, Numero: 1
Cor: VERDE, Tipo: NUMERO, Numero: 7
Cor: VERDE, Tipo: NUMERO, Numero: 3
Cor: VERMELHA, Tipo: BLOQUEIO, Numero: -1
Cor: VERDE, Tipo: NUMERO, Numero: 5
Cor: VERDE, Tipo: NUMERO, Numero: 5
Cor: PRETA, Tipo: COMPRA_MAIS_4, Numero: -1
Cor: AMARELA, Tipo: NUMERO, Numero: 2
Cor: PRETA, Tipo: ALTERACOR, Numero: -1
Cor: AMARELA, Tipo: NUMERO, Numero: 8
Cor: AZUL, Tipo: NUMERO, Numero: 1
Cor: VERDE, Tipo: NUMERO, Numero: 9
Cor: AMARELA, Tipo: NUMERO, Numero: 7
Cor: VERDE, Tipo: NUMERO, Numero: 4
Cor: AMARELA, Tipo: NUMERO, Numero: 0
Cor: AZUL, Tipo: NUMERO, Numero: 9
Cor: VERDE, Tipo: COMPRA_MAIS_2, Numero: -1
Cor: PRETA, Tipo: ALTERACOR, Numero: -1
Cor: VERDE, Tipo: NUMERO, Numero: 8
Cor: AMARELA, Tipo: NUMERO, Numero: 4
Cor: AZUL, Tipo: NUMERO, Numero: 8
Cor: AMARELA, Tipo: COMPRA_MAIS_2, Numero: -1
Cor: VERMELHA, Tipo: INVERTE, Numero: -1
Cor: AZUL, Tipo: INVERTE, Numero: -1
Cor: AZUL, Tipo: NUMERO, Numero: 3
Cor: AMARELA, Tipo: NUMERO, Numero: 3
Cor: AZUL, Tipo: BLOQUEIO, Numero: -1
Cor: VERDE, Tipo: COMPRA_MAIS_2, Numero: -1
Cor: VERMELHA, Tipo: NUMERO, Numero: 7
Cor: AMARELA, Tipo: INVERTE, Numero: -1
Cor: VERDE, Tipo: NUMERO, Numero: 0
Cor: AZUL, Tipo: NUMERO, Numero: 6
Cor: AZUL, Tipo: NUMERO, Numero: 4
Cor: VERMELHA, Tipo: NUMERO, Numero: 9
Cor: AZUL, Tipo: NUMERO, Numero: 5
Cor: AZUL, Tipo: NUMERO, Numero: 5
Cor: AZUL, Tipo: NUMERO, Numero: 4
Cor: AZUL, Tipo: BLOQUEIO, Numero: -1
Cor: VERMELHA, Tipo: NUMERO, Numero: 4
Cor: VERDE, Tipo: NUMERO, Numero: 6
Cor: VERMELHA, Tipo: NUMERO, Numero: 9
Cor: PRETA, Tipo: ALTERACOR, Numero: -1
Cor: VERMELHA, Tipo: NUMERO, Numero: 3
Cor: VERMELHA, Tipo: NUMERO, Numero: 6
Cor: AZUL, Tipo: NUMERO, Numero: 2
Cor: VERMELHA, Tipo: NUMERO, Numero: 8
Cor: VERDE, Tipo: INVERTE, Numero: -1
Cor: AMARELA, Tipo: NUMERO, Numero: 6
Cor: VERMELHA, Tipo: NUMERO, Numero: 5
Cor: AZUL, Tipo: NUMERO, Numero: 2
Cor: AZUL, Tipo: NUMERO, Numero: 0
Cor: VERMELHA, Tipo: COMPRA_MAIS_2, Numero: -1
Cor: AMARELA, Tipo: NUMERO, Numero: 7
Cor: AMARELA, Tipo: NUMERO, Numero: 9
Cor: AZUL, Tipo: NUMERO, Numero: 8
Cor: AZUL, Tipo: COMPRA_MAIS_2, Numero: -1
Cor: AMARELA, Tipo: NUMERO, Numero: 1
Cor: VERMELHA, Tipo: NUMERO, Numero: 8
Cor: AZUL, Tipo: NUMERO, Numero: 9
Cor: VERMELHA, Tipo: NUMERO, Numero: 0
Cor: PRETA, Tipo: COMPRA_MAIS_4, Numero: -1
Cor: AZUL, Tipo: NUMERO, Numero: 3
Cor: AZUL, Tipo: NUMERO, Numero: 6
Cor: AMARELA, Tipo: NUMERO, Numero: 3
Cor: VERDE, Tipo: BLOQUEIO, Numero: -1
Cor: VERDE, Tipo: NUMERO, Numero: 8
Cor: VERDE, Tipo: NUMERO, Numero: 1
Cor: AZUL, Tipo: NUMERO, Numero: 0
Cor: AMARELA, Tipo: NUMERO, Numero: 2
Cor: AZUL, Tipo: NUMERO, Numero: 7
Cor: AMARELA, Tipo: COMPRA_MAIS_2, Numero: -1
Cor: VERDE, Tipo: NUMERO, Numero: 2
Cor: AMARELA, Tipo: NUMERO, Numero: 9
Cor: AZUL, Tipo: INVERTE, Numero: -1
Cor: AMARELA, Tipo: NUMERO, Numero: 1
Cor: AZUL, Tipo: NUMERO, Numero: 7
Cor: VERMELHA, Tipo: NUMERO, Numero: 1
Cor: AZUL, Tipo: NUMERO, Numero: 1
Cor: VERMELHA, Tipo: INVERTE, Numero: -1
Cor: AMARELA, Tipo: BLOQUEIO, Numero: -1
Cor: VERMELHA, Tipo: BLOQUEIO, Numero: -1
Cor: VERMELHA, Tipo: NUMERO, Numero: 4
Cor: AMARELA, Tipo: NUMERO, Numero: 0
Cor: VERMELHA, Tipo: NUMERO, Numero: 7
Cor: VERDE, Tipo: NUMERO, Numero: 7
Cor: VERDE, Tipo: BLOQUEIO, Numero: -1
